Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13622,E6F19F,-113.71752077562327
13623,E6F248,-113.70581717451523
13624,E6F39A,-113.68240997229918
13625,E6F443,-113.67070637119113
13626,E6F595,-113.64729916897507
13627,E6F63E,-113.63559556786704
13628,E6F790,-113.61218836565097
13629,E6F839,-113.60048476454294
13630,E6F8E2,-113.58878116343492
13631,E6FA34,-113.56537396121884
13632,E6FADD,-113.5536703601108
13633,E6FC2F,-113.53026315789472
13634,E6FCD8,-113.5185595567867
13635,E6FE2A,-113.49515235457065
13636,E6FED3,-113.4834487534626
13637,E70025,-113.46004155124653
13638,E700CE,-113.44833795013851
13639,E70177,-113.43663434903048
13640,E702C9,-113.4132271468144
13641,E70372,-113.40152354570637
13642,E704C4,-113.3781163434903
13643,E7056D,-113.36641274238227
13644,E706BF,-113.34300554016622
13645,E70768,-113.33130193905816
13646,E70811,-113.31959833795014
13647,E70963,-113.29619113573408
13648,E70A0C,-113.28448753462602
13649,E70B5E,-113.26108033240997
13650,E70C07,-113.24937673130195
13651,E70D59,-113.22596952908587
13652,E70E02,-113.21426592797783
13653,E70F54,-113.19085872576179
13654,E70FFD,-113.17915512465373
13655,E710A6,-113.16745152354571
13656,E711F8,-113.14404432132964
13657,E712A1,-113.1323407202216
13658,E713F3,-113.10893351800554
13659,E7149C,-113.09722991689752
13660,E71545,-113.08552631578947
13661,E71697,-113.0621191135734
13662,E71740,-113.05041551246538
13663,E71892,-113.0270083102493
13664,E7193B,-113.01530470914128
13665,E719E4,-113.00360110803325
13666,E71B36,-112.98019390581717
13667,E71BDF,-112.96849030470914
13668,E71D31,-112.94508310249309
13669,E71DDA,-112.93337950138503
13670,E71E83,-112.92167590027701
13671,E71FD5,-112.89826869806095
13672,E7207E,-112.8865650969529
13673,E721D0,-112.86315789473684
13674,E72279,-112.85145429362882
13675,E72322,-112.83975069252077
13676,E72474,-112.81634349030472
13677,E7251D,-112.80463988919668
13678,E725C6,-112.79293628808864
13679,E72718,-112.76952908587258
13680,E727C1,-112.75782548476455
13681,E72913,-112.73441828254848
13682,E729BC,-112.72271468144044
13683,E72A65,-112.71101108033241
13684,E72BB7,-112.68760387811633
13685,E72C60,-112.67590027700831
13686,E72D09,-112.66419667590029
13687,E72E5B,-112.64078947368421
13688,E72F04,-112.62908587257617
13689,E72FAD,-112.61738227146814
13690,E730FF,-112.59397506925207
13691,E731A8,-112.58227146814404
13692,E732FA,-112.55886426592798
13693,E733A3,-112.54716066481994
13694,E7344C,-112.5354570637119
13695,E7359E,-112.51204986149585
13696,E73647,-112.5003462603878
13697,E736F0,-112.48864265927978
13698,E73842,-112.46523545706371
13699,E738EB,-112.45353185595569
